STATUS	URL	REASON
PAGE_NOT_FOUND	https://catalog.us-east-1.prod.workshops.aws/workshops/175b7a95-3a3e-4be0-8c5d-dd3c79d1b4f1/ja-JP	HTTP 200 だが Page not found (CloudWatch WorkSpaces分析)
PAGE_NOT_FOUND	https://catalog.us-east-1.prod.workshops.aws/workshops/31a4a613-f306-4453-97df-2d0dc54c7fa7/ja-JP	HTTP 200 だが Page not found (Amazon Kinesis データストリーム ハンズオン)
PAGE_NOT_FOUND	https://catalog.us-east-1.prod.workshops.aws/workshops/31cff0b6-a1b8-4a45-8f2d-7a1773ddc61f/ja-JP	HTTP 200 だが Page not found (AWS Snowball Edge によるデータ移行)
PAGE_NOT_FOUND	https://catalog.us-east-1.prod.workshops.aws/workshops/35e910c5-245f-41db-8284-73f0df0eb9ab/ja-JP	HTTP 200 だが Page not found (AWS IoT DevloperDay with IoT TwinMaker)
PAGE_NOT_FOUND	https://catalog.us-east-1.prod.workshops.aws/workshops/36ef6487-da25-4aa2-96f8-1b36a0896a49/ja-JP/	HTTP 200 だが Page not found (AWS Meter Data Analytics)
PAGE_NOT_FOUND	https://catalog.us-east-1.prod.workshops.aws/workshops/401f5147-738e-45d9-be9f-fed9c42a60b0/ja-JP	HTTP 200 だが Page not found (分散負荷テストソリューション)
PAGE_NOT_FOUND	https://catalog.us-east-1.prod.workshops.aws/workshops/4ae2dd76-c365-42e4-b66b-ed475363d562/ja-JP	HTTP 200 だが Page not found (AWS IoT Events 初級ハンズオン)
PAGE_NOT_FOUND	https://catalog.us-east-1.prod.workshops.aws/workshops/5677057b-93d7-4354-9a6c-db9434c15b5c/ja-JP	HTTP 200 だが Page not found (Building with Amazon Bedrock)
PAGE_NOT_FOUND	https://catalog.us-east-1.prod.workshops.aws/workshops/6708bce5-6aa3-4acb-89f7-85c39c006c8c/en-US	HTTP 200 だが Page not found (Amazon Kendra RAG ハンズオン)
PAGE_NOT_FOUND	https://catalog.us-east-1.prod.workshops.aws/workshops/7271111a-22bd-40e7-971a-817b0c083c67/ja-JP	HTTP 200 だが Page not found (Amazon Bedrock + Claude 3)
PAGE_NOT_FOUND	https://catalog.us-east-1.prod.workshops.aws/workshops/7afe32b1-9ffa-4372-9a12-5905de89b593/ja-JP	HTTP 200 だが Page not found (Instance Scheduler on AWS)
PAGE_NOT_FOUND	https://catalog.us-east-1.prod.workshops.aws/workshops/7e60f6e3-0c8f-488a-bedc-632aa8d526ea/ja-JP	HTTP 200 だが Page not found (AWS Systems Manager ハンズオン)
PAGE_NOT_FOUND	https://catalog.us-east-1.prod.workshops.aws/workshops/9c18a3d9-4d18-45b3-99a5-400b249d0c5f/ja-JP	HTTP 200 だが Page not found (Modernize .NET application)
PAGE_NOT_FOUND	https://catalog.us-east-1.prod.workshops.aws/workshops/a0193a6a-70c1-45e2-91e2-879852adb0d0/ja-JP	HTTP 200 だが Page not found (EKS x Istio Workshop)
PAGE_NOT_FOUND	https://catalog.us-east-1.prod.workshops.aws/workshops/a47907fc-ead9-4cc5-b964-3f208ddd472f/ja-JP	HTTP 200 だが Page not found (AWS PrivateLink ワークショップ)
PAGE_NOT_FOUND	https://catalog.us-east-1.prod.workshops.aws/workshops/a49e50ba-7473-4348-ba5d-6166385ad91d/ja-JP	HTTP 200 だが Page not found (コンテナ化のためのリファクタリング)
PAGE_NOT_FOUND	https://catalog.us-east-1.prod.workshops.aws/workshops/b6ea8509-42a3-4792-9020-24f9210d32f2/ja-JP	HTTP 200 だが Page not found (CI/CD for AWS Batch Workshop)
PAGE_NOT_FOUND	https://catalog.us-east-1.prod.workshops.aws/workshops/b95b9381-baf0-4bef-ba31-63817d54c2a6/ja-JP	HTTP 200 だが Page not found (Amazon Kinesis Video Streams ハンズオン)
PAGE_NOT_FOUND	https://catalog.us-east-1.prod.workshops.aws/workshops/bea58024-ba60-4875-a7c7-52121e5d4b70/ja-JP	HTTP 200 だが Page not found (Amazon RDS Performance Insights)
PAGE_NOT_FOUND	https://catalog.us-east-1.prod.workshops.aws/workshops/c08d6a29-a963-46f0-823a-cf4bebccad7a/ja-JP	HTTP 200 だが Page not found (Amazon FSx for Windows File Server)
PAGE_NOT_FOUND	https://catalog.us-east-1.prod.workshops.aws/workshops/c7b9d931-6d86-4994-99e5-77ada5aaffbc/ja-JP	HTTP 200 だが Page not found (Amazon DataZone ハンズオン)
PAGE_NOT_FOUND	https://catalog.us-east-1.prod.workshops.aws/workshops/d03316be-3c29-49db-8dc3-eb196c1778c9/ja-JP	HTTP 200 だが Page not found (Copilot Primer Workshop)
PAGE_NOT_FOUND	https://catalog.us-east-1.prod.workshops.aws/workshops/d75a936d-6a08-46b5-97c1-8666de887924	HTTP 200 だが Page not found (Helm Introduction Workshop)
PAGE_NOT_FOUND	https://catalog.us-east-1.prod.workshops.aws/workshops/d9ca179a-3a36-4822-9f80-0b3ffcc26f37/ja-JP	HTTP 200 だが Page not found (Stable Diffusion on SageMaker)
PAGE_NOT_FOUND	https://catalog.us-east-1.prod.workshops.aws/workshops/ed3fc8e1-cb23-4bce-b2f3-a2bfeaa3aa7d/ja-JP	HTTP 200 だが Page not found (Amazon Connect Customer Voice ID)
PAGE_NOT_FOUND	https://catalog.us-east-1.prod.workshops.aws/workshops/f3e15719-fcf0-4f2c-8105-4fae1aedba33/ja-JP	HTTP 200 だが Page not found (AWS IoT TwinMaker workshop for beginners)
